exercise_name,gymvisual_name,gif_filename
Barbell Glute Bridge,Barbell Glute Bridge (hands on bar),Barbell-Glute-Bridge-(hands-on-bar)_Hips__converted.gif
Glute-Ham Raise,Glute Ham Raise (VERSION 2),Glute-Ham-Raise-(VERSION-2)_Thighs__converted.gif
Pull-Up,Pull up,Pull-up-(negative)-(male)_Back__converted.gif
Weighted Pull-Up,Weighted Pull Up,Weighted-Pull-Up_Back__converted.gif
Weighted Neutral-Grip Pull-Up,Weighted Hammer Grip Pull up on Dip Cage,Weighted-Hammer-Grip-Pull-up-on-Dip-Cage_Back__converted.gif
Chin-Up,Chin Up,Chin-Up_Back-FIX__converted.gif
Weighted Chin-Up,Weighted Chin-Up (male),Weighted-Chin-Up-(male)_Back__converted.gif
Muscle-Up,Muscle up (on vertical bar),Muscle-Up_Back__converted.gif
Bench Dips,Bench Dip on floor (VERSION 2),Bench-Dip-on-Floor_Upper-Arms-FIX__converted.gif
Bench Dips (Feet Elevated),Triceps Dip (bench leg),Triceps-Dip_Upper-Arms-FIX__converted.gif
Chest Dip,Chest Dip,Chest-Dip_Chest_converted.gif
Dips,Triceps Dip,Triceps-Dip_Upper-Arms-FIX__converted.gif
Weighted Dip,Weighted Tricep Dips,Weighted-Tricep-Dips_Upper-Arms__converted.gif
Machine Seated Dip,Lever Seated Dip,Lever-Seated-Dip_Upper-Arms_converted.gif
Decline Sit-Up,Decline Sit up,Decline-Sit-up_Hips__converted.gif
Jackknife Sit-Up,Jackknife Sit Up,Band-Jackknife-Sit-Up_Waist__converted.gif
Bicycle Crunch,Bicycle Crunch (male),Bicycle-Crunch-(male)_Waist__converted.gif
Kneeling Cable Crunch,Cable Kneeling Crunch (VERSION 2),Cable-Kneeling-Crunch_Waist-FIX2__converted.gif
Standing Cable Crunch,Cable Standing Crunch (with rope attachment),Cable-Standing-Crunch-(with-rope-attachment)_Waist_converted.gif
Seated Cable Crunch,Cable Seated Crunch,Cable-Seated-Crunch_Waist-FIX__converted.gif
Crunch,Crunch Floor m,Crunch-Floor-(male)_waist_converted.gif
Decline Crunch,Decline Crunch,Decline-Crunch_Waist_converted.gif
Machine Seated Crunch,Lever Seated Crunch,Lever-Seated-Crunch_Waist_converted.gif
Reverse Crunch,Reverse Crunch (VERSION 3),Reverse-Crunch-(VERSION-2)_Waist_converted.gif
Handstand Hold,Handstand Hold on Wall (male),Handstand-Hold-on-Wall-(male)_Shoulders__converted.gif
Hollow Body Hold,Hollow Hold,Hollow-Hold_Waist__converted.gif
Kneeling Plank,Kneeling plank (male),Kneeling-plank-(male)_Waist_converted.gif
Plank,Front Plank,Front-Plank---Butt-(WRONG-RIGHT)__converted.gif
Reverse Plank Hold,Reverse plank,Reverse-plank_Back_converted.gif
Side Plank,Side Plank Rotation,Side-Plank-Rotation_Waist__converted.gif
Arnold Press,Dumbbell Arnold Press,Dumbbell-Arnold-Press_Shoulders_converted.gif
Behind the Neck Press,Standing Behind Neck Press,Standing-Behind-Neck-Press_Shoulders_converted.gif
Cuban Press,Dumbbell Cuban Press,Dumbbell-Cuban-Press-(version-2)_Shoulders_converted.gif
Dumbbell Push Press,Dumbbell Push Press,Dumbbell-Push-Press_Shoulders__converted.gif
Dumbbell Shoulder Press,Dumbbell Standing Overhead Press,Dumbbell-Standing-Overhead-Press_shoulder_converted.gif
Dumbbell Z Press,Dumbbell Z Press,Dumbbell-Z-Press_Shoulders__converted.gif
Kettlebell Bottoms-Up Press,Kettlebell Standing Bottoms Up One Arm Shoulder Press,Kettlebell-Standing-Bottoms-Up-One-Arm-Shoulder-Pr_converted.gif
Machine Shoulder Press,Lever Seated Shoulder Press,Lever-Seated-Shoulder-Press_Shoulders-FIX__converted.gif
Military Press,Barbell Standing Military Press (without rack),Barbell-Standing-Military-Press-(without-rack)_Shoulders_converted.gif
Plate-Loaded Shoulder Press,Lever Shoulder Press (plate loaded) (VERSION 2),Lever-Shoulder-Press-(plate-loaded)-(VERSION-2)_Shoulders__converted.gif
Push Press,Push Press,Push-Press_Shoulders_converted.gif
Seated Dumbbell Shoulder Press,Dumbbell Seated Shoulder Press,Dumbbell-Seated-Shoulder-Press_Shoulders-FIX2__converted.gif
Overhead Press,Barbell Standing Shoulders Press,Barbell-Standing-Shoulders-Press_Shoulders__converted.gif
Smith Machine Shoulder Press,Smith Seated Shoulder Press,Smith-Seated-Shoulder-Press_Shoulders_converted.gif
Seated Overhead Press,Barbell Seated Overhead Press,Barbell-Seated-Overhead-Press_Shoulders_converted.gif
Single-Arm Landmine Press,Landmine Kneeling One Arm Shoulder Press,Landmine-Kneeling-One-Arm-Shoulder-Press_Shoulders copy_converted.gif
Z Press,Barbell Z Press,Barbell-Z-Press_Shoulders__converted.gif
Cable External Rotation,Cable Standing Shoulder External Rotation,Cable-Standing-Shoulder-External-Rotation_Back-FIX_converted.gif
Cable Internal Rotation,Cable Shoulder Internal Rotation,Cable-Shoulder-Internal-Rotation_Shoulders__converted.gif
Band Internal Rotation,Resistance Band Standing Shoulder Internal Rotation (male),Resistance-Band-Standing-Shoulder-Internal-Rotatio_converted.gif
Banded Lateral Raise,Band front lateral raise,Band-front-lateral-raise_Shoulders_converted.gif
Dumbbell Lateral Raise,Dumbbell Lateral Raise,Dumbbell-Lateral-Raise-Plank-(male)_Waist__converted.gif
Machine Lateral Raise,Lever Lateral Raise,Lever-Lateral-Raise-(plate-loaded)_Shoulders_converted.gif
Barbell Front Raise,Barbell Front Raise,Barbell-Front-Raise_Shoulders_converted.gif
Dumbbell Front Raise,Dumbbell Front Raise,Dumbbell-Front-Raise-(version-2)_Shoulders_converted.gif
Dumbbell Face Pull,Dumbbell Bent Over Face Pull,Dumbbell-Bent-Over-Face-Pull_Shoulders__converted.gif
Face Pull,Cable Standing Face Pull (with rope),Cable-Standing-Face-Pull-(with-rope)_Shoulders_converted.gif
Barbell Shrug,Barbell Shrug,Barbell-Shrug_Back_converted.gif
Behind the Back Barbell Shrug,Barbell Behind The Back Shrug,Barbell-Behind-The-Back-Shrug_Back__converted.gif
Cable Shrug,Cable Shrug,Cable-Shrug_Back-FIX__converted.gif
Dumbbell Shrug,Dumbbell Shrug,Dumbbell-Shrug_Back-FIX__converted.gif
Trap Bar Shrug,Trap Bar Standing Shrug (male),Trap-Bar-Standing-Shrug-(male)_Back__converted.gif
Machine Shrug,Lever Shrug (plate loaded),Lever-Shrug-(plate-loaded)_Back_converted.gif
Smith Machine Shrug,Smith Shrug,Smith-Shrug_Back_converted.gif
Ab Wheel Roll-Out,Wheel Rollout,Wheel-Rollout_Waist-FIX2__converted.gif
Stability Ball Roll-Out,Stability Ball Rollout on Knees (male),Stability-Ball-Rollout-on-Knees-(male)_Hips__converted.gif
Barbell Calf Raise,Barbell Standing Leg Calf Raise,Barbell-Standing-Leg-Calf-Raise_Calves_converted.gif
Bodyweight Calf Raise,Bodyweight Standing Calf Raise,Bodyweight-Standing-Calf-Raise_Calves_converted.gif
Donkey Calf Raise,Lever Donkey Calf Raise,Donkey-Calf-Raise_Calves_converted.gif
Dumbbell Calf Raise,Dumbbell Standing Calf Raise,Dumbbell-Standing-Calf-Raise_Calves-FIX__converted.gif
Leg Press Calf Raise,Sled Calf Press On Leg Press,Sled-Calf-Press-On-Leg-Press_Calves-FIX__converted.gif
Seated Calf Raise,Lever Seated Calf Raise (plate loaded),Lever-Seated-Calf-Raise-(plate-loaded)_converted.gif
Standing Calf Raise,Lever Standing Calf Raise,Lever-Standing-Calf-Raise_Calf-FIX__converted.gif
Hack Squat Machine Calf Raise,Hack Calf Raise,Hack-Calf-Raise_Calves__converted 2.gif
Barbell Seated Calf Raise,Barbell Seated Calf Raise,Barbell-Seated-Calf-Raise_Calves_converted.gif
Single-Leg Bodyweight Calf Raise,One Leg Floor Calf Raise,One-Leg-Floor-Calf-Raise_Calves_converted.gif
Standing Smith Machine Calf Raise,Smith Standing Leg Calf Raise,Smith-Standing-Leg-Calf-Raise_Calves__converted.gif
Seated Smith Machine Calf Raise,Smith Seated Calf Raise,Smith-Seated-Calf-Raise_Calves__converted.gif
Standing Banded Calf Raise,Band Two Legs Calf Raise - (Band under both legs) VERSION 2,Band-Two-Legs-Calf-Raise---(Band-under-both-legs)-VERSION-2_Calves_converted.gif
Cable Standing Calf Raise,Cable Standing Calf Raise,Standing-Calf-Raise-(On-a-staircase)_Calves__converted.gif
Indoor Cycling,Bicycle Recline Walk,Bicycle-Recline-Walk_Cardio_converted.gif
Treadmill Walk/Run,Walking on Treadmill,Walking-on-Treadmill_Cardio_converted.gif
21s Curl,EZ-bar 21s,EZ-bar-21s_Upper-Arms__converted.gif
Band Biceps Curl,Band Biceps Curl,Band-Biceps-Curl_Upper-Arms__converted.gif
Barbell Curl,Barbell Curl,Barbell-Curl_Upper-Arms_without-weight_converted.gif
Barbell Reverse Curl,Barbell Reverse Curl,Barbell-Reverse-Curl_Forearm_converted.gif
Barbell Wrist Curl,Barbell Wrist Curl (VERSION 2),Barbell-Wrist-Curl-(VERSION-2)_Forearms-FIX2__converted.gif
Cable Curl With Bar,Cable Close Grip Curl,Cable-Close-Grip-Curl_Upper-Arms__converted.gif
Cable Hammer Curl,Cable Hammer Curl (with rope) male,Cable-Hammer-Curl-(with-rope)-(male)_Forearms__converted.gif
Cheat Curl,Cheat Curl,Cheat-Curl_Upper-Arms__converted.gif
Concentration Curl,Dumbbell Concentration Curl,Dumbbell-Concentration-Curl_Upper-Arms-FIX__converted.gif
Drag Curl,Barbell Drag Curl,Barbell-Drag-Curl_Upper-Arms-FIX__converted.gif
