exercise_name,gymvisual_name
Deadlift,Barbell Deadlift
Single-Leg Deadlift,Barbell Single Leg Deadlift
Dumbbell Deadlift,Dumbbell Deadlift (VERSION 2) (male)
Single-Leg Dumbbell Deadlift,Dumbbell Single Leg Deadlift
Deficit Deadlift,Barbell Deadlift from Deficit
Behind the Back Deadlift,Barbell Behind The Back Deadlift
Jefferson Deadlift,Barbell Jefferson Deadlift
Jefferson Curl,Dumbbell Jefferson Curl (male)
Snatch Grip Deadlift,Barbell Snatch grip Deadlift (male)
Sumo Deadlift,Barbell Sumo Deadlift
Trap Bar Deadlift,Trap Bar Deadlift
Zercher Deadlift,Barbell Zercher Deadlift
Stiff-Legged Deadlift,Barbell Stiff Legged Deadlift
Romanian Deadlift,Barbell Romanian Deadlift
Dumbbell Romanian Deadlift,Dumbbell Romanian Deadlift
Rack Pull,Barbell Rack Pull
Hyperextension,Hyperextension
Machine Back Extension,Lever Back Extension
Reverse Hyperextension,Lever Reverse Hyperextension (plate loaded)
Weighted Hyperextension,Weighted Hyperextension
Cable Glute Kickback,Cable Kickback (male)
Machine Glute Kickback,Lever Glute Press (male)
Glute Kickback,Bent Leg Kickback (kneeling) (male)
Dead Hang,Dead Hang Stretch
Single-Arm Dead Hang,Alternating Dead Hang (male)
Bird Dog,Bird Dog male
Dead Bug,Dead Bug
Side Lying Hip Abduction,Side Hip Abduction
Band Standing Hip Abduction,Resistance Band Standing Balance Hip Abduction (male)
Band Seated Hip Abduction,Resistance Band Seated Hip Abduction (VERSION 2)
Cable Hip Abduction,Cable hip abduction (version 2) (male)
Lever Side Hip Abduction,Lever Side Hip Abduction (female)
Side Bridge Hip Abduction,Side Bridge Hip Abduction
Side Lying Hip Adduction,Side Hip Abduction
Band Hip Adduction,Band hip adduction (male)
Side Plank Hip Adduction,Side Plank Hip Adduction (bent knee)
Lever Side Hip Adduction,Lever Side Hip Adduction
Standing Hip Adduction,Hip - Adduction
Cable Hip Adduction,Cable Hip Adduction
Side Lying Leg Raise,Side Lying Leg Raise
