Exercise Name,Image URL
Weighted Muscle-Up,https://gymvisual.com/animated-gifs/7215-weighted-muscle-up-on-bar.html#/47-style_type-basic_grey
Bench Dips,https://gymvisual.com/animated-gifs/12137-bench-dip-on-floor-version-2.html#/47-style_type-basic_grey
Bench Dips (Feet Elevated),https://gymvisual.com/animated-gifs/2294-triceps-dip-bench-leg.html#/47-style_type-basic_grey
Costal Dip,https://gymvisual.com/animated-gifs/1744-chest-dip.html?search_query=chest+dip&results=51
Dips,https://gymvisual.com/animated-gifs/2296-triceps-dip.html#/47-style_type-basic_grey
Weighted Dip,https://gymvisual.com/animated-gifs/3767-weighted-tricep-dips.html#/47-style_type-basic_grey
Machine Seated Dip,https://gymvisual.com/animated-gifs/2924-lever-seated-dip.html?search_query=machine+seated+dip&results=6
Sit-Up,https://gymvisual.com/animated-gifs/2218-sit-up-version-2.html#/47-style_type-basic_grey
Decline Sit-Up,https://gymvisual.com/animated-gifs/1775-decline-sit-up.html?search_query=decline+sit+up&results=40
Jackknife Sit-Up,https://gymvisual.com/animated-gifs/2005-jackknife-sit-up.html?search_query=jackknife+sit+up&results=4
Bicycle Crunch,https://gymvisual.com/animated-gifs/15580-bicycle-crunch-male.html?search_query=bicycle+crunch&results=16
Kneeling Cable Crunch,https://gymvisual.com/animated-gifs/14259-cable-kneeling-crunch-version-2.html?search_query=cable+crunch&results=48
Standing Cable Crunch,https://gymvisual.com/animated-gifs/2354-cable-standing-crunch-with-rope-attachment.html#/47-style_type-basic_grey
Seated Cable Crunch,https://gymvisual.com/animated-gifs/1705-cable-seated-crunch.html?search_query=cable+crunch&results=48
Crunch,https://gymvisual.com/animated-gifs/1767-crunch-floor-m.html#/47-style_type-basic_grey
Decline Crunch,https://gymvisual.com/animated-gifs/1770-decline-crunch.html#/47-style_type-basic_grey
Machine Seated Crunch,https://gymvisual.com/animated-gifs/2925-lever-seated-crunch.html#/47-style_type-basic_grey
Reverse Crunch,https://gymvisual.com/animated-gifs/10964-reverse-crunch-version-3.html#/47-style_type-basic_grey
Side Crunch,https://gymvisual.com/animated-gifs/2196-side-crunch.html#/47-style_type-basic_grey
Arch Body Hold,
Front Rack Hold,
Handstand Hold,https://gymvisual.com/animated-gifs/16445-handstand-hold-on-wall-male.html#/47-style_type-basic_grey
Hollow Body Hold,https://gymvisual.com/animated-gifs/4440-hollow-hold.html#/47-style_type-basic_grey
Overhead Hold,
Thick-Bar Hold,
Trap Bar Hold,
Copenhagen Plank,
Kneeling Plank,https://gymvisual.com/animated-gifs/8337-kneeling-plank-male.html#/47-style_type-basic_grey
Plank,https://gymvisual.com/animated-gifs/4402-front-plank.html#/47-style_type-basic_grey
Reverse Plank Hold,https://gymvisual.com/animated-gifs/4419-reverse-plank.html#/47-style_type-basic_grey
Side Plank,https://gymvisual.com/animated-gifs/21565-side-plank-rotation.html#/47-style_type-basic_grey
Arnold Press,https://gymvisual.com/animated-gifs/4176-dumbbell-arnold-press.html?search_query=arnold+press&results=31
Behind the Neck Press,https://gymvisual.com/animated-gifs/2271-standing-behind-neck-press.html?search_query=barbell+behind+neck+press&results=3
Bradford Press,https://gymvisual.com/animated-gifs/1603-barbell-standing-bradford-press.html?search_query=bradford+press&results=4
Converging Smith Shoulder Press,
Cuban Press,https://gymvisual.com/animated-gifs/1792-dumbbell-cuban-press.html?search_query=cuban+press&results=8
Dumbbell Push Press,https://gymvisual.com/animated-gifs/3669-dumbbell-push-press.html?search_query=push+press&results=27
Dumbbell Shoulder Press,https://gymvisual.com/animated-gifs/1927-dumbbell-standing-overhead-press.html?search_query=dumbbell+shoulder+press&results=171
Dumbbell Z Press,https://gymvisual.com/illustrations/14146-dumbbell-z-press.html?search_query=dumbbell+y+press&results=433
Kettlebell Bottoms-Up Press,https://gymvisual.com/animated-gifs/8923-kettlebell-standing-bottoms-up-one-arm-shoulder-press.html?search_query=Kettlebell+Bottoms-Up+Press&results=11
Landmine Press,https://gymvisual.com/animated-gifs/21298-landmine-half-kneeling-shoulders-press.html?search_query=landmine+press&results=40
Machine Shoulder Press,https://gymvisual.com/animated-gifs/2927-lever-seated-shoulder-press.html?search_query=machine+shoulder+press&results=63
Military Press,https://gymvisual.com/animated-gifs/2620-barbell-standing-military-press-without-rack.html?search_query=barbell+military+press&results=30
Overhead Press Pin Hold,
Plate-Loaded Shoulder Press,https://gymvisual.com/animated-gifs/2349-lever-shoulder-press-plate-loaded-version-2.html?search_query=plate+loaded+shoulder+press&results=21
Push Press,https://gymvisual.com/animated-gifs/2651-push-press.html?search_query=push+press&results=27
Seated Dumbbell Shoulder Press,https://gymvisual.com/animated-gifs/1906-dumbbell-seated-shoulder-press.html#/47-style_type-basic_grey
Seated Shoulder Press,
Overhead Pin Press,https://gymvisual.com/animated-gifs/14157-barbell-standing-shoulder-pin-press.html?search_query=shoulder+pin+press&results=2
Overhead Press,https://gymvisual.com/animated-gifs/12838-barbell-standing-shoulders-press.html?search_query=barbell+shoulder+press&results=90
Single-Arm Landmine Press,https://gymvisual.com/animated-gifs/8849-landmine-kneeling-one-arm-shoulder-press.html?search_query=landmine+press&results=40
Viking Press,https://gymvisual.com/animated-gifs/6687-strongman-viking-press.html?search_query=viking+press&results=5
Y Press,
Z Press,https://gymvisual.com/animated-gifs/12382-barbell-z-press.html#/47-style_type-basic_grey
Cable External Rotation,https://gymvisual.com/animated-gifs/1728-cable-standing-shoulder-external-rotation.html?search_query=cable+external+rotation&results=22
